,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
942,59903.49733,223.37,0.34,59.2,0.7,3.97,1366.5,4.4,197.5,14,0.235,0.003,16.94,-7.3,1.4,1.4,97.1,3.3,10,2.4
943,59903.49766,220.35,0.24,30.5,0.4,3.83,1127.7,6.7,192.3,21,0.117,0.001,8.45,-4.1,2.1,1.9,81.2,5.9,-1.4,4.6
944,59903.49796,221.9,0.35,33.9,0.4,3.81,1136.1,7,191.8,22.1,0.129,0.002,9.29,4.3,2.8,2.6,94.5,7.4,9.5,5.4
945,59903.49862,219.33,0.28,25.2,0.3,2.32,1024.6,8.4,112.3,17.6,0.058,0.001,4.22,4.5,11.9,11.7,98.5,16.6,-19.7,12
946,59903.49875,220.05,0.11,79.9,1,6.15,1013.3,4,127.4,7,0.492,0.006,35.46,-5.1,1.2,1.1,97.4,2.1,2.9,1.5
947,59903.49901,221.17,8.13,36.9,0.4,3.2,1009.7,7.7,106,12.7,0.118,0.001,8.52,3.5,5.8,5.7,84.2,7.3,2.4,5.6
948,59903.49901,225.47,0.23,146.2,1.8,1.85,1323.1,3.7,219.1,14,0.271,0.003,19.55,-0.3,0.6,0.6,97.5,1.9,-10.3,1.4
949,59903.49901,217.42,0.58,64.9,0.8,2.51,1068.8,4.8,177.3,13.1,0.163,0.002,11.75,-4.9,1.2,1.1,96.4,3.9,-7.6,2.8
950,59903.49927,220.57,0.09,156,1.9,5.72,1031.1,2.4,141.7,5,0.892,0.011,64.37,-0.1,0.5,0.5,100.1,1.1,15.4,0.8
951,59903.49927,219.31,0.12,38.2,0.5,3.29,1016.5,1.4,50.2,3,0.126,0.002,9.08,-1.7,4.3,4.2,86.1,5.5,43,4.5
952,59903.49934,220.72,0.18,25.7,0.3,2.18,1011.2,3.6,57.4,7.3,0.056,0.001,4.05,30.3,45,42.5,38.5,13.3,6.8,12.4
953,59903.49984,219.88,0.11,45.2,0.5,6.2,1018.7,3.2,103.2,6.1,0.28,0.003,20.19,1.3,2.5,2.6,92.6,3.6,10.3,2.6
